Name,Type,Best_Season,Avg_Cost,Typical_Duration,Image_URL,Description,Latitude,Longitude
Nainital,Hill Station,Summer,8000,3,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather.",29.39247,79.45227
Mussoorie,Hill Station,Summer,9000,3,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm.",30.45546,78.08022
Rishikesh,Spiritual / Adventure,Winter,7000,2,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River.",30.11409,78.28399
Haridwar,Spiritual,Winter,6000,2,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance.",29.94462,78.16588
Jim Corbett National Park,Wildlife,Winter,11000,2,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants.",29.5528,78.88296
Auli,Ski Resort,Winter,14000,4,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views.,30.5416,79.55153
Valley of Flowers,Trekking / Nature,Monsoon,10000,5,valley_of_flowers.jpg,A UNESCO World Heritage site famous for its endemic alpine flowers and lush meadows.,30.71484,79.59305
Badrinath,Pilgrimage,Summer,12000,3,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas.,30.74325,79.49305
Kedarnath,Pilgrimage,Summer,15000,4,kedarnath.jpg,"A revered shrine dedicated to Lord Shiva, nestled amidst snow-covered peaks.",30.73487,79.06766
Chopta,Hill Station / Trekking,Autumn,8000,3,chopta.jpg,"Known as the 'Mini Switzerland' of India, perfect for trekking and tranquil landscapes.",30.4872,79.223
Jim Corbett National Park,  Adventure,Summer,19923,4,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Jim Corbett National Park , Trekking,Winter,19980,3,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Auli , Trekking,Winter,18938,2,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views. ,30.5416,79.55153
Haridwar , Pilgrimage,Winter,11616,5,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
Jim Corbett National Park , Wildlife,Winter,12192,6,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Rishikesh , Nature,Summer,14000,3,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River. ",30.11409,78.28399
Kedarnath,  Ski Resort,Monsoon,11271,4,kedarnath.jpg,"A revered shrine dedicated to Lord Shiva, nestled amidst snow-covered peaks. ",30.73487,79.06766
Chopta  ,Nature,Monsoon,16781,2,chopta.jpg,"Known as the 'Mini Switzerland' of India, perfect for trekking and tranquil landscapes. ",30.4872,79.223
Haridwar , Ski Resort,Summer,18890,3,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
Mussoorie  ,Cultural,Winter,7775,6,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm. ",30.45546,78.08022
Badrinath  ,Spiritual,Winter,18396,3,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas. ,30.74325,79.49305
Nainital  ,Trekking,Monsoon,8156,6,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather.",29.39247,79.45227
Mussoorie  ,Cultural,Autumn,8377,4,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm. ",30.45546,78.08022
Haridwar  ,Hill Station,Monsoon,8337,3,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
Rishikesh  ,Nature,Monsoon,12849,3,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River. ",30.11409,78.28399
Nainital  ,Ski Resort,Winter,19980,3,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Nainital  ,Scenic,Summer,8046,3,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Nainital  ,Nature,Winter,18752,2,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Mussoorie  ,Nature,Autumn,9895,4,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm. ",30.45546,78.08022
Mussoorie  ,Cultural,Monsoon,12788,3,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm. ",30.45546,78.08022
Valley of Flowers  ,Ski Resort,Summer,11799,6,valley_of_flowers.jpg,A UNESCO World Heritage site famous for its endemic alpine flowers and lush meadows. ,30.71484,79.59305
Jim Corbett National Park  ,Scenic,Monsoon,12672,5,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Nainital  ,Adventure,Winter,16126,2,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Jim Corbett National Park  ,Ski Resort,Autumn,13836,3,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants.",29.5528,78.88296
Mussoorie  ,Pilgrimage,Monsoon,19888,3,mussoorie.jpg,"Popularly called the 'Queen of Hills', Mussoorie offers panoramic views of the Himalayas and colonial charm. ",30.45546,78.08022
Nainital  ,Cultural,Summer,9800,5,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Jim Corbett National Park  ,Pilgrimage,Summer,13801,4,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants. ",29.5528,78.88296
Auli  ,Cultural,Monsoon,16966,4,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views.,30.5416,79.55153
Rishikesh  ,Ski Resort,Winter,17342,3,rishikesh.jpg,"Famous for yoga, meditation, and adventure sports like rafting on the Ganges River.",30.11409,78.28399
Valley of Flowers  ,Scenic,Monsoon,10998,2,valley_of_flowers.jpg,A UNESCO World Heritage site famous for its endemic alpine flowers and lush meadows. ,30.71484,79.59305
Badrinath  ,Adventure,Autumn,9838,5,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas. ,30.74325,79.49305
Jim Corbett National Park  ,Ski Resort,Winter,9091,5,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants.",29.5528,78.88296
Nainital  ,Cultural,Summer,6543,4,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather.",29.39247,79.45227
Nainital  ,Hill Station,Monsoon,10698,3,nainital.jpg,"A beautiful hill station known for its scenic lake, colonial architecture, and pleasant weather. ",29.39247,79.45227
Badrinath  ,Cultural,Monsoon,15408,3,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas.,30.74325,79.49305
Jim Corbett National Park  ,Scenic,Monsoon,10111,2,jim_corbett_national_park.jpg,"India’s oldest national park, rich in flora and fauna, especially Bengal tigers and elephants.",29.5528,78.88296
Badrinath  ,Spiritual,Monsoon,16498,6,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas.,30.74325,79.49305
Haridwar  ,Ski Resort,Winter,15758,5,haridwar.jpg,"An ancient city on the banks of the Ganges, known for Ganga Aarti and pilgrimage significance. ",29.94462,78.16588
Auli  ,Wildlife,Monsoon,11439,3,auli.jpg,A skiing paradise in the Himalayas offering snowy slopes and panoramic views. ,30.5416,79.55153
Badrinath  ,Ski Resort,Autumn,6193,6,badrinath.jpg,One of the Char Dham pilgrimage sites dedicated to Lord Vishnu in the Himalayas. ,30.74325,79.49305
Munsiyari,Hill Station,Summer,9500,4,munsiyari.jpg,"A scenic hill town nestled in the snow-capped Himalayas, perfect for trekking and panoramic views.",30.07175,80.23722
Pithoragarh,Historical,Autumn,8700,3,pithoragarh.jpg,"Known as 'Little Kashmir', this town offers natural beauty and historical forts in the Himalayan foothills.",29.58363,80.21931
Lansdowne,Hill Station,Winter,7500,2,lansdowne.jpg,"A serene cantonment town with colonial charm, surrounded by oak and pine forests.",29.83781,78.68664
Binsar,Nature,Summer,8600,3,binsar.jpg,A wildlife sanctuary known for its biodiversity and stunning views of Himalayan peaks.,29.6581,79.6333
Ranikhet,Hill Station,Summer,8800,3,ranikhet.jpg,"A peaceful hill town with lush green meadows, temples, and golf courses.",29.64308,79.43332
Almora,Cultural,Summer,8100,3,almora.jpg,"A cultural hub in Kumaon, known for its handicrafts, cuisine, and scenic beauty.",29.58994,79.64638
Kausani,Scenic,Summer,8900,3,kausani.jpg,Offers a 300 km-wide panoramic view of the Himalayas; ideal for nature lovers and poets.,29.84387,79.60428
Dhanaulti,Hill Station,Autumn,7700,2,dhanaulti.jpg,"A tranquil alternative to Mussoorie, with eco-parks, forest trails, and camping options.",30.40553,78.23234
Tehri Lake,Adventure,Summer,10500,2,tehri_lake.jpg,An emerging destination for water sports and scenic boat rides at Asia's largest manmade lake.,30.38254,78.47506
Chaukori,Hill Station,Winter,9100,3,chaukori.jpg,A hidden gem offering enchanting views of snow-clad peaks and peaceful tea gardens.,29.83867,80.03291
Pauri,Hill Station,Summer,7400,3,pauri.jpg,"Known for its temples, natural beauty, and sunset views over the Himalayan ranges.",30.14731,78.77444
Champawat,Historical,Autumn,7900,2,champawat.jpg,"A historic town once capital of the Chand dynasty, surrounded by temples and ancient architecture.",29.33495,80.09005
Bhimtal,Scenic,Summer,8500,2,bhimtal.jpg,"A picturesque town centered around a serene lake, perfect for boating and lakeside walks.",29.34668,79.55306
Naukuchiatal,Nature,Summer,8800,2,naukuchiatal.jpg,"Famous for its nine-cornered lake and tranquil ambiance, ideal for birdwatching and kayaking.",29.32242,79.58418
Mukteshwar,Hill Station,Summer,9200,3,mukteshwar.jpg,"Offers adventure sports, apple orchards, and a 350-year-old Shiva temple.",29.46062,79.65584
Kalap,Cultural,Summer,11000,5,kalap.jpg,"A remote, sustainable tourism village promoting ancient Garhwali traditions and trekking.",31.09836,78.13645
Gaumukh,Trekking,Summer,12000,6,gaumukh.jpg,"Source of the Ganges River, reached via a challenging yet spiritual trek from Gangotri.",30.92569,79.08173
Harsil,Scenic,Autumn,9300,3,harsil.jpg,"A Himalayan hamlet on the way to Gangotri, known for apple orchards and pristine beauty.",31.03627,78.73759
Mana Village,Cultural,Summer,9500,2,mana_village.jpg,"India’s last village before the Indo-Tibetan border, steeped in mythological significance.",30.77275,79.49502
Gangotri,Spiritual,Summer,12500,3,gangotri.jpg,"One of the four Char Dham sites, source of River Ganga and a sacred pilgrimage spot.",30.98066,78.9312
